45949	Callosciurus finlaysonii	Finlayson's Squirrel
45952	Callosciurus erythraeus	Pallas' Squirrel
45955	Callosciurus prevostii	Prevost's Squirrel
45957	Funisciurus pyrropus	Fire-footed Rope Squirrel
46001	Sciurus vulgaris	Eurasian Red Squirrel
46003	Sciurus yucatanensis	Yucatán Squirrel
46005	Sciurus variegatoides	Variegated Squirrel
46009	Sciurus aureogaster	Red-bellied Squirrel
46010	Sciurus granatensis	Red-tailed Squirrel
46011	Sciurus spadiceus	Southern Amazon Red Squirrel
46015	Sciurus anomalus	Caucasian Squirrel
46017	Sciurus carolinensis	Eastern Gray Squirrel
46020	Sciurus niger	Eastern Fox Squirrel
46023	Sciurus griseus	Western Gray Squirrel
46030	Ratufa indica	Indian Giant Squirrel
46032	Ratufa affinis	Pale Giant Squirrel
46033	Ratufa bicolor	Black Giant Squirrel
46037	Spermophilus citellus	European Ground Squirrel
46082	Marmota marmota	Alpine Marmot
46086	Marmota flaviventris	Yellow-bellied Marmot
46087	Marmota caligata	Hoary Marmot
46095	Marmota monax	Groundhog
46104	Menetes berdmorei	Indochinese Ground Squirrel
46110	Paraxerus cepapi	Smith's Bush Squirrel
46150	Sundasciurus tenuis	Lowland Slender Squirrel
46168	Tamiops maritimus	Maritime Striped Squirrel
46170	Dremomys pernyi	Perny's Long-nosed Squirrel
46179	Cynomys ludovicianus	Black-tailed Prairie Dog
46217	Tamias striatus	Eastern Chipmunk
46256	Ammospermophilus harrisii	Harris' Antelope Squirrel
46259	Tamiasciurus douglasii	Douglas's Squirrel
46260	Tamiasciurus hudsonicus	American Red Squirrel
46266	Glaucomys sabrinus	Northern Flying Squirrel
46272	Glaucomys volans	Southern Flying Squirrel
46294	Tupaia javanica	Horsfield's Treeshrew
46296	Tupaia belangeri	Northern Treeshrew
46414	Sorex araneus	Common Shrew
464495	Amietia poyntoni	Poynton's River Frog
465117	Arcyptera fusca	Large Banded Grasshopper
465461	Chrysochraon dispar	Gold Grasshopper
465888	Ptyonoprogne obsoleta	Pale Crag-Martin
466317	Conocephalus fuscus	Long-winged Conehead
46640	Crocidura russula	Greater White-toothed Shrew
467020	Bicolorana bicolor	Bicolour Meadow Bush-cricket
467944	Chorthippus maritimus	Maritime Grasshopper
468533	Pteronemobius heydenii	Marsh-cricket
468535	Tarbinskiellus portentosus	Tarbinskiellus portentosus
469238	Neotibicen canicularis	Northern Dog-day Cicada
469253	Hadoa duryi	Orange-and-black Cicada
469277	Neotibicen superbus	Superb Dog-day Cicada
470524	Psophus stridulus	Rattle Grasshopper
470754	Polysarcus denticauda	Bull Bush-cricket
47219	Apis mellifera	Western Honey Bee
473189	Chorthippus dorsatus	Steppe Grasshopper
473315	Chorthippus mollis	Lesser Grasshopper
473439	Teleogryllus occipitalis	Teleogryllus occipitalis
473905	Barbitistes serricauda	Common Saw Bush-cricket
476245	Sylvirana guentheri	Guenther's Frog
476395	Pulchrana baramica	Brown Marsh Frog
476401	Pulchrana glandulosa	Rough-sided frog
476407	Sylvirana nigrovittata	Black-striped Frog
476484	Pulchrana laterimaculata	Side-spotted Swamp Frog
476523	Papurana daemeli	Australian Wood Frog
476579	Microhyla mukhlesuri	Mukhlesur's Narrow-mouthed Frog
476664	Ptychadena nilotica	Nile Ridged Frog
476925	Cacosternum australis	Southern Dainty Frog
48122	Microcentrum retinerve	Lesser Anglewing
491961	Teleogryllus mitratus	Teleogryllus mitratus
496256	Tibicina haematodes	Red Cicada
496767	Chorthippus apricarius	Locomotive Grasshopper
496774	Pseudochorthippus montanus	Water-meadow Grasshopper
499194	Ducetia japonica	Ducetia japonica
501625	Pseudochorthippus parallelus	Meadow Grasshopper
503713	Gryllotalpa vineae	Vineyard Mole-cricket
505000	Eumodicogryllus bordigalensis	Verge Cricket
505825	Cicada cretensis	Cretan Cicada
507377	Melanogryllus desertus	Desert Cricket
51110	Xylocopa virginica	Eastern Carpenter Bee
513856	Platycleis intermedia	Intermediate Grey Bush-cricket
513918	Omocestus raymondi	Raymond's Grasshopper
516126	Lycalopex culpaeus	Culpeo
517052	Sclerophrys garmani	Garman's Toad
517053	Sclerophrys gutturalis	Guttural Toad
517057	Sclerophrys pusilla	Eastern Flat-backed Toad
517107	Ranoidea raniformis	Southern Bell Frog
517119	Rhinella horribilis	Giant Toad
517132	Sclerophrys capensis	Raucous Toad
517357	Amietia delalandii	Common River Frog
520845	Natula averni	Reed-cricket
520863	Platycleis falx	Falcate Grey Bush-cricket
520869	Svercus palmetorum	Cicada Cricket
522193	Alces alces	Moose
541105	Uromenus rugosicollis	Rough Saddle Bush-cricket
541390	Megapomponia merula	Megapomponia merula
548416	Pelodytes atlanticus	Lusitanian Parsley Frog
548418	Pelodytes punctatus	Common Parsley Frog
552057	Dimissalna dimissa	Dimissalna dimissa
553515	Rhinella marina	Cane Toad
553754	Oecanthus dulcisonans	Large Tree-cricket
555123	Boana lundii	Usina Tree Frog
555142	Boana pugnax	Chirique-Flusse Tree Frog
555649	Tettigonia caudata	Eastern Green Bush-cricket
556621	Bombina variegata	Yellow-bellied Toad
556897	Purana usnani	Purana usnani
55761	Lilioceris lilii	Lily Leaf Beetle
55957	Scudderia furcata	Fork-tailed Bush Katydid
564678	Loxoblemmus equestris	Loxoblemmus equestris
564681	Dundubia nagarasingna	Dundubia nagarasingna
566513	Alouatta seniculus	Colombian Red Howler Monkey
566528	Cercopithecus lowei	Lowe's Monkey
568769	Dundubia vaginata	Dundubia vaginata
570621	Platycleis sabulosa	Platycleis sabulosa
57444	Stethophyma grossum	Large Marsh Grasshopper
57516	Bombus terrestris	Buff-tailed Bumble Bee
57556	Papio ursinus	Chacma Baboon
60341	Lithobates sphenocephalus	Southern Leopard Frog
62345	Duttaphrynus melanostictus	Asian Common Toad
63113	Blarina brevicauda	Northern Short-tailed Shrew
64873	Allobates talamancae	Striped Rocket Frog
64906	Ameerega trivittata	Three-striped Poison Frog
64912	Amietia fuscigula	Cape River Frog
64968	Anaxyrus americanus	American Toad
64970	Anaxyrus boreas	Western Toad
64973	Anaxyrus cognatus	Great Plains Toad
64977	Anaxyrus fowleri	Fowler's Toad
64978	Anaxyrus hemiophrys	Canadian Toad
64984	Anaxyrus punctatus	Red-spotted Toad
64987	Anaxyrus speciosus	Texas Toad
64988	Anaxyrus terrestris	Southern Toad
64989	Anaxyrus woodhousii	Woodhouse's Toad
65029	Aplastodiscus leucopygius	Guinle Tree Frog
